StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q_att_1,Q_att_2,Q11_1,Q11_2,Q12_1,Q12_2,PROLIFIC_PID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Information and Consent

 

Dear participant,

 

We invite you to participate in a short questionnaire. Please read the following information carefully. You can then decide whether you would like to participate or not. Allow yourself sufficient time and ask the study staff any questions that are important to you. The study is funded by public money (from the German Research Foundation).

 

Purpose of the questionnaire

This questionnaire is part of a larger project on decision making in social contexts. We may invite you to take part in follow up studies involving experiments after the completion of this survey. 

 

Personal benefit from participating

The results from this study can contribute to learn more about learning and decision making in social and non-social contexts. Therefore, your participation could help future research on this topic.

 

Duration and procedure of the study

This online survey consists of a series of 9 situations involving 2 questions each that you can answer online. 

 

Unintended effects/risks

We do not expect this questionnaire to cause you any psychological distress. If you suffer from significant distress after completing it, please contact one of the staff or the study management immediately (Jun.-Prof. Dr. C. Korn 06221/56 4363, Klinik für Allgemeine Psychiatrie, Voßstr. 4, 69115 Heidelberg).

The examination can be cancelled at your request at any time without giving reasons.

 

Confidentiality

All data collected during this study will be treated with strict confidentiality. Your responses will be stored securely and analyzed in aggregate form. No personally identifiable information will be linked to your responses. Any information that could potentially identify you will be removed or anonymized.



Voluntary Participation

Participation in this study is completely voluntary. If you decide to participate, you are free to withdraw at any time without providing a reason. Your decision to participate or withdraw will be respected and will have no negative consequences.

 

Compensation

You will receive a financial compensation for a fair estimated time spent on the questionnaire at a rate of 8 euros per hour for participating in this online survey. 



If you have any questions, you can always contact Herrn Jun.-Prof. Dr. phil. Christoph Korn (Tel. 06221/56 4363). We would be grateful for your participation in this research project!

Jun.-Prof. Dr. phil. C. Korn

Head of study

 

By clicking ""I accept"" and continuing with the questionnaire, you confirm that you have read and understood the information provided in this consent form. You freely and voluntarily agree to participate in this study.",What is your Prolific ID? Please note that this response should auto-fill with the correct ID,You ask your parents or another family member for a loan to help you through a difficult financial time. - How concerned or anxious would you be over whether or not your family would want to help you?,You ask your parents or another family member for a loan to help you through a difficult financial time. - I would expect that they would agree to help as much as they can.,You approach a close friend to talk after doing or saying something that seriously upset him/her. - How concerned or anxious would you be over whether or not your friend would want to talk with you?,You approach a close friend to talk after doing or saying something that seriously upset him/her. - I would expect that he/she would want to talk with me to try to work things out.,You bring up the issue of sexual protection with your significant other and tell him/her how important you think it is. - How concerned or anxious would you be over his/her reaction?,You bring up the issue of sexual protection with your significant other and tell him/her how important you think it is. - I would expect that he/she would be willing to discuss our possible options without getting defensive.,You ask your supervisor for help with a problem you have been having at work. - How concerned or anxious would you be over whether or not the person would want to help you?,You ask your supervisor for help with a problem you have been having at work. - I would expect that he/she would want to try to help me out.,"After a bitter argument, you call or approach your significant other because you want to make up. - How concerned or anxious would you be over whether or not your significant other would want to make up with you?","After a bitter argument, you call or approach your significant other because you want to make up. - I would expect that he/she would be at least as eager to make up as I would be.",You ask your parents or other family members to come to an occasion important to you. - How concerned or anxious would you be over whether or not they would want to come?,You ask your parents or other family members to come to an occasion important to you. - I would expect that they would want to come.,"At a party, you notice someone on the other side of the room that you'd like to get to know, and you approach him or her to try to start a conversation. - How concerned or anxious would you be over whether or not the person would want to talk with you?","At a party, you notice someone on the other side of the room that you'd like to get to know, and you approach him or her to try to start a conversation. - I would expect that he/she would want to talk with me.","As you fill in this form, we want people to read the situation carefully and give us thoughtful answers. - For this specific question, please select very concerned here","As you fill in this form, we want people to read the situation carefully and give us thoughtful answers. - For this specific question, please select very likely here","Lately you've been noticing some distance between yourself and your significant other, and you ask him/her if there is something wrong. - How concerned or anxious would you be over whether or not he/she still loves you and wants to be with you?","Lately you've been noticing some distance between yourself and your significant other, and you ask him/her if there is something wrong. - I would expect that he/she will show sincere love and commitment to our relationship no matter what else may be going on.",You call a friend when there is something on your mind that you feel you really need to talk about. - How concerned or anxious would you be over whether or not your friend would want to listen?,You call a friend when there is something on your mind that you feel you really need to talk about. - I would expect that he/she would listen and support me.,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""PROLIFIC_PID""}"
2023-11-20 14:47:49,2023-11-20 14:49:39,Survey Preview,100,110,True,2023-11-20 14:49:41,R_9ZdeKyYymwKfWjn,preview,EN-GB,I accept,test,1,2,1,2,1,2,4,4,2,3,2,3,4,3,6,6,5,4,5,5,
2023-11-20 14:53:06,2023-11-20 14:53:54,IP Address,100,48,True,2023-11-20 14:53:54,R_3sppzBvhbu5eN9U,anonymous,EN-GB,I accept,6534f8856793347b56876ae6,3,4,3,4,3,4,3,2,4,5,4,4,4,2,5,5,5,2,2,5,6534f8856793347b56876ae6
2023-11-20 14:52:54,2023-11-20 14:54:31,IP Address,100,96,True,2023-11-20 14:54:32,R_vi80O50wbtuMjQt,anonymous,EN-GB,I accept,6122bbb8be3dd11d70df5fb1,5,4,4,6,6,5,3,3,3,4,4,5,4,4,5,6,2,5,5,5,6122bbb8be3dd11d70df5fb1
2023-11-20 14:53:04,2023-11-20 14:55:19,IP Address,100,134,True,2023-11-20 14:55:19,R_aUUhDXvAYAecx8d,anonymous,EN-GB,I accept,6127b2bd966818c0cd491fc6,6,1,2,4,5,5,5,5,2,2,2,3,3,1,6,3,6,5,5,5,6127b2bd966818c0cd491fc6
2023-11-20 14:52:42,2023-11-20 14:55:30,IP Address,100,167,True,2023-11-20 14:55:31,R_31Raqvcvccx1iP1,anonymous,EN-GB,I accept,615f303d42ae872aad5de8e6,6,5,6,5,3,6,4,6,6,4,5,6,5,5,1,1,5,5,4,6,615f303d42ae872aad5de8e6
2023-11-20 14:53:32,2023-11-20 14:55:47,IP Address,100,134,True,2023-11-20 14:55:48,R_ymYtkvI9hRgZAnD,anonymous,EN-GB,I accept,5980f6ed06cd1f0001f8d659,4,4,5,4,2,6,3,6,5,6,2,6,6,2,6,6,6,5,3,6,5980f6ed06cd1f0001f8d659
2023-11-20 14:52:44,2023-11-20 14:56:32,IP Address,100,227,True,2023-11-20 14:56:32,R_2U9HfGRQpYMdtRG,anonymous,EN-GB,I accept,60f8334891c71768b6719ef6,6,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,60f8334891c71768b6719ef6
2023-11-20 14:54:54,2023-11-20 14:56:41,IP Address,100,106,True,2023-11-20 14:56:42,R_3kdZKHHstm01rlZ,anonymous,EN-GB,I accept,613a135d304b7618cff600f7,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,613a135d304b7618cff600f7
