"","id","bonus"
"1","5c573b734dabe6000176ac3d",0.48
"2","651ac3b483319dbbd6faffab",0.38
"3","5b2a72f7c293b90001732b89",0.46
"4","5d5819147ca41f001ae97338",0.41
"5","6095b18d2259069adefeb80a",0.33
"6","6130c7f7d0112fa23b17079c",0.55
"7","5fb680f7e13f87000aa59a9a",0.42
"8","5f7d002d141e4e1c0e84e98e",0.61
"9","6453c2df1b56ea2d0b96df79",0.77
"10","607ee7232fb723e021ea8bd5",0.39
"11","5baa7acf14779d0001a23968",0.37
"12","652d42521776368552cd2d15",0.44
"13","5ffa3ca8a1f5f24038661d33",0.5
"14","5b8e8feeee5b0500010f16d0",0.43
"15","5e15aae07bf572b8f97a847d",0.51
"16","5d4e4f66ffbcf800199d5d2e",0.4
"17","5c64561ab84cf50001b59f09",0.49
"18","6544fd23649b492ec6242947",0.56
"19","5e6a923f59a3bd04d5edc606",0.49
"20","5f8c9d876245d7429d7f86b1",0.68
"21","644a6b401909670b5aa92694",0.6
"22","5fbd15dc317ca0034b33539a",0.54
"23","5fc275d97b9f5d42411a9fed",0.49
"24","5ec2cf4c3542420fa914f4b9",0.4
"25","6474d7ee51ea5b296ca2846c",0.53
"26","5df6542c1e2e5844f407f08a",0.38
"27","60e6fa95f0d5e55625421e9a",0.49
"28","5f2e4f6e9832d71ae6cdc4ab",0.71
"29","5efd8bbe8f20d51cd2ab9327",0.46
"30","6148bfc30aaff83ef4e878b1",0.61
"31","5eb9d60bcd9c0e0fec1757d5",0.52
"32","5e686cc00ec2fc11d7fa6dc9",0.43
"33","5a6f391ca1fb98000140d290",0.47
"34","658050a64cb63eb1b2980a47",0.48
"35","6169ecdc25e74ea28663de2d",0.4
"36","65b7b71325851c8d971cab6d",0.28
"37","5c1f67aeda51990001e14bb7",0.51
"38","5ba15dc1dc44b600016df192",0.51
"39","5c416b55bc9c0c00014ed96e",0.5
"40","5c6414540821d30001046198",0.36
"41","60d940b3467a738583c832f2",0.61
"42","5bc690392885710001a0bb76",0.48
"43","60dfdb8bbef17b6739d12215",0.52
"44","5cd6c6fd987ddd00187b79fd",0.53
"45","5e714522bac83d05b8a3e63b",0.64
"46","61517b09cb26914ee2b6b731",0.6
"47","54b19cadfdf99b0b3d806330",0.62
"48","5fc97909520cd94a49b6b870",0.4
"49","60d0a6f149817763def6cd6f",0.6
"50","60476ecfdd72a724ee081741",0.42
"51","57e160a1dcda780001a0e429",0.46
"52","65071169200242df17cee284",0.52
"53","5fd3a666364e0c05179d5d5b",0.54
"54","6393d8ef9d45e4b8822c877a",0.5
"55","5f92d09bcc4d0b000834b058",0.71
"56","5d696624dc730d0001827041",0.54
"57","64b4191d97bde99254ebaa63",0.54
"58","5fba54733359979ab9a16056",0.49
"59","5ced5d2d5919ea0019fa067d",0.63
"60","6273eeabe7637501530d9733",0.55
"61","5a8a8de6000dab00018cc170",0.72
"62","5cb898d38609200014b98859",0.64
"63","599c578d8acf1e0001599633",0.39
"64","5ba93f85e0925b0001544131",0.47
"65","5887951f5b971900013a03c0",0.39
"66","5e283f8ad48ecf000ddd0724",0.64
"67","60dc7a3a6881d342a930e09e",0.41
"68","65b0ef225a0f80457bfa6b85",0.74
"69","5f7506afbadfcf169784f466",0.46
"70","55e356dac70c7a00052a57ec",0.67
"71","63ed0a28c581929e144b96e0",0.5
"72","5e4c1f836603cd072bb734d5",0.48
"73","5e1471b5a99550a8a867bfb4",0.5
"74","634688e5fa2b2ff0a83c7a17",0.61
"75","5c478dae685da800014c8119",0.57
"76","5f3e36440f2e8d0008474ef9",0.44
"77","65a7decf0c075163aa79694d",0.4
"78","5a94ee9bf6dfdd0001ea50f1",0.57
"79","62fd14d7b1e0729dc8aadb79",0.55
"80","64275d22f204d1161ad23e64",0.38
"81","62fc25ef4ce0d3d169b7a120",0.44
"82","5fd796b61780590ef7f9fec8",0.42
"83","63d176dbaef5e7827cd86954",0.66
"84","5accc0ef99835c00015e9ae4",0.5
"85","5ce2cde71d1060001a811155",0.73
"86","62f1b2691a5ac1c03a9987a0",0.38
"87","5f3b033d78bf3c202a84aeb6",0.5
"88","5fe891c85474cd754bb563fb",0.4
"89","5e297fe208bec2130819c2c3",0.44
"90","60c7f0970b31e00de07b8131",0.5
"91","65b234d5fcc64f77539b2f4c",0.55
"92","60feaaeadbfdc2dc6c01d24e",0.51
"93","61278818f54e9fdd66a154b3",0.4
"94","65be6cbd9087215db418421e",0.5
"95","657f003b33e0a7a3302e65eb",0.56
"96","5ed814fc9e50c230c1efb63c",0.52
"97","655faeaa22964920719a77b3",0.44
"98","65a972d37d72c46261475f55",0.42
"99","5d373fe30a39ba0017b61dfd",0.5
"100","5de905ba6f1d17000a6cf72a",0.52
"101","5eeaff91fd89901efebf84b4",0.6
"102","62d1326fee93c50ea5638e9f",0.37
"103","5f68faf9dacf470c0a0492b3",0.37
